iter	Logloss
0	0.6409013326
1	0.5969993243
2	0.564431356
3	0.5404818879
4	0.5195318388
5	0.4995006056
6	0.4801241019
7	0.462711161
8	0.4520076857
9	0.4464311712
10	0.4359465273
11	0.4309006558
12	0.4251181029
13	0.4202950446
14	0.4141491213
15	0.4115476078
16	0.4081758639
17	0.4055514238
18	0.4035472896
19	0.402085477
20	0.4001749207
21	0.3973844968
22	0.3959642949
23	0.3941581571
24	0.3927290606
25	0.3917090176
26	0.3904031971
27	0.3892098366
28	0.3877032684
29	0.386440102
30	0.3853565052
31	0.3844755159
32	0.383559829
33	0.3826821527
34	0.3819301259
35	0.3811498163
36	0.3805199176
37	0.3784389321
38	0.3770452518
39	0.3756102277
40	0.3740942865
41	0.3728627287
42	0.3719395547
43	0.371506453
44	0.3707604465
45	0.3702452137
46	0.3697768895
47	0.3691360464
48	0.3687889663
49	0.3686914247
50	0.3674791665
51	0.3668456298
52	0.3663776052
53	0.3650293515
54	0.3646431482
55	0.3639351694
56	0.3628814857
57	0.3621686733
58	0.3615566354
59	0.3612762513
60	0.3607200032
61	0.3600347893
62	0.3594588761
63	0.3589695003
64	0.3587719607
65	0.3584599054
66	0.358043125
67	0.3570525642
68	0.3559299935
69	0.3555292689
70	0.3544767789
71	0.3540833914
72	0.3531723329
73	0.3526513238
74	0.3520258381
75	0.3513535317
76	0.3501677084
77	0.3497292894
78	0.3493751066
79	0.3489042449
80	0.3484128932
81	0.3478820109
82	0.3468842
83	0.3463099142
84	0.3452665453
85	0.3447829436
86	0.3441745895
87	0.3434705904
88	0.3425579162
89	0.3420281168
90	0.3411159768
91	0.3406081179
92	0.3399742105
93	0.3393141162
94	0.3388168024
95	0.3378355737
96	0.3372971711
97	0.336703562
98	0.335986749
99	0.3353741548
100	0.3346528995
101	0.3341189127
102	0.3334319019
103	0.3326409442
104	0.3321155209
105	0.3317314015
106	0.331172944
107	0.3306430619
108	0.3301950309
109	0.32957771
110	0.3289264955
111	0.3284203649
112	0.3278941689
113	0.3272593482
114	0.3266238315
115	0.3259845836
116	0.3256849441
117	0.3252345785
118	0.3247606417
119	0.3243951265
120	0.3238957777
121	0.3236281909
122	0.3230730212
123	0.322621171
124	0.3220228409
125	0.3212447328
126	0.3206834132
127	0.3201463965
128	0.3197573377
129	0.3192319415
130	0.318667195
131	0.3180828264
132	0.3177146901
133	0.317039865
134	0.3165623159
135	0.3161967362
136	0.3157459938
137	0.3152153535
138	0.3147662918
139	0.3143801372
140	0.3140756832
141	0.3135833211
142	0.3133059583
143	0.3129118153
144	0.312522194
145	0.3122496281
146	0.3119276719
147	0.3114433756
148	0.3110203907
149	0.3106369806
150	0.3102881887
151	0.3098208677
152	0.3095006889
153	0.3090584709
154	0.3086746944
155	0.3082461091
156	0.3076576458
157	0.3071139073
158	0.3069284386
159	0.3059333358
160	0.3055249
161	0.305223552
162	0.3049926564
163	0.3044503278
164	0.3040239968
165	0.3036701907
166	0.3034080916
167	0.3030397495
168	0.3027066164
169	0.3022245954
170	0.3018799943
171	0.3015211732
172	0.3011831034
173	0.300614653
174	0.3002651867
175	0.2998966713
176	0.2994828842
177	0.2992131593
178	0.2989176295
179	0.2986117581
180	0.298353781
181	0.2981017152
182	0.2977262895
183	0.2976024262
184	0.2972400097
185	0.2968230387
186	0.2964838922
187	0.2962836215
188	0.2959619408
189	0.2955717234
190	0.2953196083
191	0.2949677998
192	0.2942265159
193	0.2938215601
194	0.293522289
195	0.2932913239
196	0.2929551358
197	0.2925790826
198	0.292360582
199	0.292130644
200	0.2918114115
201	0.2914564096
202	0.2911877086
203	0.2909787415
204	0.2907597541
205	0.2903815647
206	0.2899279173
207	0.2896910902
208	0.2893977925
209	0.2892814908
210	0.2890095565
211	0.2887075545
212	0.2882088471
213	0.2878313197
214	0.2873978423
215	0.287153612
216	0.2867331543
217	0.2864296607
218	0.2861576954
219	0.2859150743
220	0.2854833815
221	0.2853136265
222	0.2849904438
223	0.2846709851
224	0.2840910954
225	0.2838057118
226	0.2835351265
227	0.2832303284
228	0.2829379857
229	0.2827099473
230	0.2824858306
231	0.2823861847
232	0.2820654416
233	0.2818353571
234	0.2814467218
235	0.2811998441
236	0.2809868413
237	0.2807019292
238	0.2804659287
239	0.280152978
240	0.2800611309
241	0.2798035091
242	0.2795843198
243	0.2793640638
244	0.2789614579
245	0.2786635151
246	0.2784019379
247	0.2781359388
248	0.2777315373
249	0.2774479498
250	0.2771063292
251	0.2768301841
252	0.2766790071
253	0.2764304501
254	0.2759555582
255	0.2755665309
256	0.275418277
257	0.27511211
258	0.2748018199
259	0.2745028851
260	0.2742577615
261	0.2741255418
262	0.2738994184
263	0.2736658061
264	0.2734536782
265	0.2730602434
266	0.2728234438
267	0.2725912252
268	0.2723725561
269	0.2721695019
270	0.271980802
271	0.2718574585
272	0.2715512434
273	0.2713524932
274	0.2711274247
275	0.2709196207
276	0.2704454026
277	0.2702395481
278	0.269992449
279	0.2697367836
280	0.2695401428
281	0.269221284
282	0.2689197584
283	0.2685912187
284	0.2681608929
285	0.2679384286
286	0.2677499438
287	0.2674808898
288	0.2672530457
289	0.2670261181
290	0.2666503071
291	0.2663762994
292	0.2661804353
293	0.265733748
294	0.2654260935
295	0.2653604408
296	0.2651123946
297	0.2649742307
298	0.2646249558
299	0.264357852
300	0.2641866215
301	0.2640272553
302	0.2638018341
303	0.263677036
304	0.2634937539
305	0.2632499521
306	0.2630783709
307	0.2627686197
308	0.2625733108
309	0.2623032623
310	0.2620212439
311	0.2618065065
312	0.2615388357
313	0.2610647087
314	0.2607857507
315	0.2606129134
316	0.2603743965
317	0.2600730917
318	0.2596138301
319	0.2593801929
320	0.2592225702
321	0.2589729055
322	0.2587222582
323	0.25848701
324	0.2582483268
325	0.2581272591
326	0.2578452723
327	0.2576513356
328	0.257433294
329	0.2571366989
330	0.2569344441
331	0.2566670269
332	0.2564462724
333	0.2562165303
334	0.2559519751
335	0.2556992267
336	0.2555304224
337	0.2553124698
338	0.2551466905
339	0.2549324835
340	0.2547074176
341	0.2544598283
342	0.2541248687
343	0.2539485327
344	0.2537202091
345	0.2534170507
346	0.2531592466
347	0.2529718943
348	0.2527186727
349	0.252448647
350	0.252303729
351	0.2519530626
352	0.2515749392
353	0.2514359119
354	0.2512604872
355	0.2510021966
356	0.2508713258
357	0.2506218911
358	0.2503464739
359	0.2500993992
360	0.2498747831
361	0.2497034
362	0.2494541391
363	0.2492034799
364	0.2489709486
365	0.2488086931
366	0.2486252417
367	0.2483561682
368	0.2482303532
369	0.2480585948
370	0.2478146307
371	0.2476755985
372	0.2474541062
373	0.24720028
374	0.247016657
375	0.2469125082
376	0.2468130582
377	0.246602808
378	0.2464895861
379	0.2463227552
380	0.2460659438
381	0.2458685225
382	0.2456744392
383	0.24535701
384	0.2452069443
385	0.2450280069
386	0.2449015728
387	0.2446717059
388	0.2445253028
389	0.2444112138
390	0.2440919903
391	0.2439533122
392	0.2437922918
393	0.2435417767
394	0.2433253801
395	0.243020252
396	0.2429382599
397	0.2426581748
398	0.2425406479
399	0.2423591758
400	0.2422074596
401	0.2420159423
402	0.2418234434
403	0.2416962351
404	0.2415626658
405	0.2413304552
406	0.241169833
407	0.2410064536
408	0.2408355525
409	0.2405643565
410	0.2403905127
411	0.240201288
412	0.2399814904
413	0.2397055338
414	0.239475233
415	0.2392506403
416	0.2390930765
417	0.2388736678
418	0.2386820083
419	0.2385906886
420	0.2384068149
421	0.23811712
422	0.2379152432
423	0.2376359605
424	0.2373487808
425	0.2371760132
426	0.2370545457
427	0.2369932464
428	0.2367874824
429	0.2364899006
430	0.2362680509
431	0.23608795
432	0.2358600904
433	0.2356830847
434	0.2353833471
435	0.2351014167
436	0.2348976138
437	0.2347307947
438	0.2344881815
439	0.2343900305
440	0.2341341744
441	0.2339904565
442	0.2337931969
443	0.233605882
444	0.2333598468
445	0.233100131
446	0.2330181796
447	0.2328758328
448	0.2326632139
449	0.2324609865
450	0.2322860545
451	0.2320796839
452	0.2319206731
453	0.2316647471
454	0.2314635089
455	0.2312933847
456	0.2310991356
457	0.2309378478
458	0.2307589181
459	0.2304042785
460	0.2303195321
461	0.2301464702
462	0.2299729489
463	0.2298188251
464	0.2297037563
465	0.2294800713
466	0.2291902709
467	0.229075933
468	0.2289161783
469	0.2287644262
470	0.2285948185
471	0.2284410608
472	0.2282695814
473	0.2280106017
474	0.2278696626
475	0.227764484
476	0.2275988141
477	0.2274744808
478	0.2272871656
479	0.227099094
480	0.2268734827
481	0.2267210275
482	0.2265768116
483	0.2264051852
484	0.2263040535
485	0.2261585578
486	0.2260056706
487	0.2258150594
488	0.2257054309
489	0.2254835863
490	0.225322022
491	0.2251699821
492	0.2250379802
493	0.2249076519
494	0.2247700409
495	0.2246693894
496	0.2245657998
497	0.2244477513
498	0.2242336899
499	0.2241118131
500	0.2239430823
501	0.2238020548
502	0.2236936591
503	0.2235083633
504	0.2233282995
505	0.2231805552
506	0.2229925031
507	0.2228096782
508	0.2227114274
509	0.2225745419
510	0.2224499037
511	0.2222121619
512	0.2220091441
513	0.221891091
514	0.2217214674
515	0.2215135198
516	0.2214245319
517	0.221161708
518	0.2209586512
519	0.2208694275
520	0.2207278874
521	0.2204335618
522	0.220350409
523	0.2202174099
524	0.2200160823
525	0.2198025047
526	0.2196662755
527	0.2194776211
528	0.2193045165
529	0.2192545435
530	0.219042935
531	0.2189054484
532	0.2187419413
533	0.2185492895
534	0.218298773
535	0.2181455681
536	0.2180013339
537	0.2178194721
538	0.2176807118
539	0.2175479294
540	0.2174082102
541	0.2172575032
542	0.2171054717
543	0.2169495493
544	0.2167689693
545	0.216648282
546	0.2164545391
547	0.2163693258
548	0.2162212554
549	0.2160404841
550	0.2157822194
551	0.2154567921
552	0.2153264357
553	0.2151800711
554	0.215083692
555	0.2149822854
556	0.2148338645
557	0.214647212
558	0.2145042353
559	0.2142990509
560	0.2141437875
561	0.2139578606
562	0.2137997787
563	0.2136379732
564	0.2135148793
565	0.2134029662
566	0.2131801121
567	0.213051677
568	0.2128392236
569	0.2126961561
570	0.2125689106
571	0.2124668642
572	0.2123157737
573	0.2120865758
574	0.211985012
575	0.21180248
576	0.2116620706
577	0.2114274797
578	0.211256662
579	0.2111776138
580	0.2109340059
581	0.210738202
582	0.2106332196
583	0.2105039808
584	0.2103875574
585	0.2102684621
586	0.2101541427
587	0.2099663703
588	0.2098645705
