iter	Passed	Remaining
0	3	2156
1	7	2137
2	10	2003
3	13	2033
4	16	1980
5	19	1976
6	22	1929
7	25	1886
8	28	1857
9	30	1817
10	33	1783
11	35	1760
12	38	1740
13	41	1724
14	44	1718
15	46	1702
16	49	1688
17	51	1675
18	54	1660
19	56	1650
20	59	1641
21	62	1628
22	64	1614
23	66	1602
24	69	1595
25	72	1590
26	74	1590
27	77	1584
28	80	1578
29	82	1571
30	85	1568
31	88	1564
32	90	1563
33	93	1557
34	96	1552
35	98	1546
36	101	1540
37	104	1542
38	106	1537
39	109	1534
40	112	1530
41	115	1528
42	117	1525
43	120	1520
44	122	1514
45	125	1509
46	127	1503
47	130	1497
48	132	1493
49	135	1490
50	137	1484
51	140	1476
52	142	1470
53	144	1465
54	147	1463
55	150	1461
56	152	1455
57	155	1449
58	157	1443
59	159	1438
60	162	1434
61	165	1435
62	168	1434
63	170	1430
64	173	1427
65	175	1423
66	178	1418
67	181	1417
68	183	1413
69	186	1408
70	188	1403
71	190	1399
72	193	1395
73	195	1393
74	198	1392
75	201	1390
76	204	1387
77	206	1383
78	209	1379
79	211	1376
80	214	1375
81	217	1371
82	219	1367
83	222	1364
84	224	1360
85	227	1357
86	229	1354
87	232	1351
88	234	1347
89	237	1343
90	239	1340
91	242	1336
92	244	1334
93	247	1331
94	249	1328
95	252	1324
96	254	1320
97	257	1317
98	259	1314
99	262	1312
100	264	1308
101	267	1305
102	269	1301
103	272	1297
104	274	1294
105	277	1293
106	280	1290
107	282	1287
108	285	1284
109	287	1280
110	289	1277
111	293	1276
112	295	1274
113	298	1271
114	300	1268
115	303	1265
116	306	1263
117	309	1263
118	312	1261
119	314	1258
120	317	1255
121	319	1253
122	322	1250
123	326	1252
124	329	1251
125	332	1249
126	334	1246
127	336	1242
128	339	1240
129	342	1238
130	345	1236
131	348	1234
132	350	1230
133	352	1227
134	355	1223
135	358	1221
136	360	1218
137	363	1215
138	365	1212
139	368	1209
140	370	1206
141	373	1205
142	376	1203
143	379	1201
144	382	1199
145	384	1196
146	387	1194
147	391	1196
148	394	1193
149	396	1189
150	399	1186
151	401	1183
152	404	1180
153	406	1178
154	409	1174
155	411	1171
156	414	1168
157	416	1165
158	418	1161
159	421	1160
160	424	1157
161	427	1155
162	429	1151
163	432	1148
164	434	1145
165	437	1143
166	439	1140
167	442	1137
168	444	1134
169	447	1130
170	449	1127
171	452	1125
172	454	1122
173	457	1119
174	459	1116
175	462	1113
176	464	1110
177	466	1107
178	470	1105
179	472	1102
180	475	1100
181	477	1096
182	480	1093
183	482	1090
184	485	1089
185	488	1086
186	490	1083
187	492	1080
188	495	1076
189	497	1073
190	499	1070
191	502	1068
192	505	1065
193	507	1062
194	510	1059
195	512	1056
196	515	1053
197	517	1051
198	520	1048
199	523	1046
200	525	1044
201	528	1041
202	530	1038
203	533	1036
204	536	1033
205	538	1030
206	541	1027
207	543	1024
208	546	1021
209	549	1021
210	552	1018
211	554	1015
212	557	1012
213	559	1009
214	562	1006
215	564	1004
216	567	1001
217	569	998
218	572	995
219	574	992
220	577	989
221	579	986
222	582	985
223	585	982
224	587	979
225	589	976
226	592	973
227	594	970
228	597	968
229	600	965
230	602	962
231	605	959
232	607	956
233	609	953
234	612	951
235	615	949
236	617	946
237	620	943
238	622	940
239	625	937
240	627	935
241	631	933
242	633	931
243	636	928
244	638	925
245	641	923
246	644	920
247	646	917
248	649	914
249	651	912
250	653	909
251	656	907
252	659	904
253	662	902
254	664	899
255	667	896
256	669	893
257	672	890
258	674	888
259	677	885
260	679	882
261	682	879
262	684	877
263	687	874
264	689	871
265	692	869
266	694	866
267	697	863
268	699	861
269	702	858
270	704	855
271	707	853
272	710	850
273	713	848
274	715	846
275	718	843
276	720	840
277	723	838
278	726	836
279	729	834
280	732	831
281	735	828
282	737	826
283	740	823
284	742	820
285	745	818
286	748	815
287	750	813
288	752	810
289	755	807
290	758	805
291	761	803
292	763	800
293	766	797
294	768	794
295	771	791
296	773	789
297	776	786
298	779	784
299	781	781
300	783	778
301	786	775
302	789	773
303	791	771
304	794	768
305	797	765
306	799	763
307	802	760
308	805	758
309	807	755
310	810	753
311	813	750
312	815	747
313	818	745
314	820	742
315	823	740
316	826	737
317	829	735
318	831	732
319	834	729
320	837	727
321	839	725
322	842	722
323	845	719
324	847	717
325	850	714
326	853	712
327	855	709
328	858	707
329	862	706
330	865	703
331	868	700
332	870	698
333	873	695
334	875	692
335	878	690
336	881	687
337	883	684
338	886	682
339	889	680
340	892	677
341	894	674
342	897	672
343	899	669
344	902	667
345	905	665
346	908	662
347	910	659
348	913	656
349	915	654
350	918	651
351	921	648
352	923	646
353	925	643
354	928	640
355	930	637
356	933	635
357	935	632
358	938	629
359	940	627
360	943	624
361	945	621
362	948	619
363	950	616
364	953	613
365	955	610
366	958	608
367	960	605
368	963	602
369	966	600
370	968	598
371	971	595
372	974	592
373	976	590
374	979	587
375	982	585
376	985	582
377	987	580
378	990	577
379	992	574
380	995	572
381	998	569
382	1000	567
383	1003	564
384	1005	561
385	1008	559
386	1011	556
387	1013	553
388	1016	551
389	1019	548
390	1021	546
391	1024	543
392	1026	540
393	1029	538
394	1032	535
395	1034	532
396	1037	530
397	1039	527
398	1041	524
399	1044	522
400	1047	519
401	1049	517
402	1052	514
403	1054	511
404	1057	509
405	1059	506
406	1062	503
407	1065	501
408	1067	498
409	1070	496
410	1073	493
411	1075	490
412	1078	488
413	1081	485
414	1084	483
415	1086	480
416	1089	477
417	1091	475
418	1094	472
419	1097	470
420	1099	467
421	1102	464
422	1104	462
423	1107	459
424	1111	457
425	1113	455
426	1116	452
427	1119	449
428	1121	447
429	1124	444
430	1127	442
431	1130	439
432	1132	436
433	1135	434
434	1137	431
435	1140	428
436	1143	426
437	1146	423
438	1149	421
439	1151	418
440	1154	416
441	1157	413
442	1160	411
443	1162	408
444	1165	405
445	1168	403
446	1171	400
447	1174	398
448	1177	395
449	1179	393
450	1182	390
451	1185	388
452	1188	385
453	1190	382
454	1193	380
455	1195	377
456	1198	375
457	1201	372
458	1203	369
459	1206	367
460	1209	364
461	1211	361
462	1214	359
463	1216	356
464	1219	354
465	1222	351
466	1225	348
467	1227	346
468	1230	343
469	1232	340
470	1235	338
471	1238	335
472	1240	333
473	1243	330
474	1245	327
475	1248	325
476	1250	322
477	1254	320
478	1256	317
479	1259	314
480	1261	312
481	1264	309
482	1266	306
483	1269	304
484	1273	301
485	1276	299
486	1278	296
487	1281	294
488	1284	291
489	1286	288
490	1289	286
491	1292	283
492	1294	280
493	1297	278
494	1300	275
495	1303	273
496	1305	270
497	1308	268
498	1311	265
499	1313	262
500	1316	260
501	1319	257
502	1321	254
503	1324	252
504	1326	249
505	1329	246
506	1332	244
507	1335	241
508	1338	239
509	1340	236
510	1343	233
511	1345	231
512	1348	228
513	1351	226
514	1354	223
515	1357	220
516	1359	218
517	1362	215
518	1364	213
519	1367	210
520	1370	207
521	1373	205
522	1376	202
523	1378	199
524	1381	197
525	1384	194
526	1386	192
527	1389	189
528	1391	186
529	1394	184
530	1397	181
531	1400	179
532	1403	176
533	1405	173
534	1408	171
535	1410	168
536	1414	165
537	1416	163
538	1419	160
539	1422	158
540	1424	155
541	1427	152
542	1430	150
543	1432	147
544	1435	144
545	1438	142
546	1440	139
547	1443	136
548	1446	134
549	1448	131
550	1451	129
551	1454	126
552	1456	123
553	1459	121
554	1462	118
555	1464	115
556	1467	113
557	1470	110
558	1472	108
559	1475	105
560	1478	102
561	1480	100
562	1483	97
563	1485	94
564	1488	92
565	1490	89
566	1493	86
567	1496	84
568	1499	81
569	1501	79
570	1503	76
571	1506	73
572	1508	71
573	1511	68
574	1514	65
575	1516	63
576	1519	60
577	1521	57
578	1524	55
579	1527	52
580	1530	50
581	1532	47
582	1535	44
583	1537	42
584	1540	39
585	1543	36
586	1545	34
587	1548	31
588	1550	28
589	1552	26
590	1555	23
591	1558	21
592	1560	18
593	1563	15
594	1565	13
595	1568	10
596	1570	7
597	1573	5
598	1576	2
599	1578	0
